size,dep_density,budget_tightness,deadline_pressure,instance_seed,opt_risk,current_risk_risk,current_risk_feasible,current_risk_gap
45,0.1,0.6,0.1,159380,1174,1638,1,0.39523
45,0.1,0.6,0.1,167299,1072,2181,1,1.034515
45,0.1,0.6,0.1,175218,652,957,1,0.467791
45,0.1,0.6,0.1,183137,1547,1813,1,0.171946
45,0.1,0.6,0.1,191056,783,1339,1,0.710089
45,0.1,0.6,0.1,198975,849,1664,1,0.959953
45,0.1,0.6,0.1,206894,933,1159,1,0.242229
45,0.1,0.6,0.1,214813,853,1177,1,0.379836
45,0.1,0.6,0.1,222732,1255,1544,1,0.230279
45,0.1,0.6,0.1,230651,882,1290,1,0.462585
45,0.1,0.6,0.4,1000,731,1143,1,0.563611
45,0.1,0.6,0.4,8919,1196,1585,1,0.325251
45,0.1,0.6,0.4,16838,397,497,1,0.251889
45,0.1,0.6,0.4,24757,1258,1690,1,0.343402
45,0.1,0.6,0.4,32676,518,926,1,0.787645
45,0.1,0.6,0.4,40595,840,1588,1,0.890476
45,0.1,0.6,0.4,48514,1453,2073,1,0.426703
45,0.1,0.6,0.4,56433,937,1134,1,0.210245
45,0.1,0.6,0.4,64352,691,1441,1,1.085384
45,0.1,0.6,0.4,72271,837,1497,1,0.78853
45,0.1,0.6,0.4,184919,1858,2393,1,0.287944
45,0.1,0.6,0.4,88109,549,1093,1,0.990893
45,0.1,0.6,0.4,96028,727,912,1,0.25447
45,0.1,0.6,0.4,103947,517,904,1,0.748549
45,0.1,0.6,0.4,111866,1149,1778,1,0.547433
45,0.1,0.6,0.4,119785,1709,3255,1,0.904623
45,0.1,0.6,0.4,127704,698,1037,1,0.485673
45,0.1,0.6,0.4,135623,1543,2579,1,0.671419
45,0.1,0.6,0.4,143542,958,1377,1,0.43737
45,0.1,0.6,0.4,151461,1193,1761,1,0.476111
45,0.1,0.6,0.4,159380,1174,1638,1,0.39523
45,0.1,0.6,0.4,167299,1072,2181,1,1.034515
45,0.1,0.6,0.4,175218,652,957,1,0.467791
45,0.1,0.6,0.4,183137,1547,1813,1,0.171946
45,0.1,0.6,0.4,191056,783,1339,1,0.710089
45,0.1,0.6,0.4,198975,849,1664,1,0.959953
45,0.1,0.6,0.4,206894,933,1159,1,0.242229
45,0.1,0.6,0.4,214813,853,1177,1,0.379836
45,0.1,0.6,0.4,222732,1255,1544,1,0.230279
45,0.1,0.6,0.4,230651,882,1290,1,0.462585
45,0.1,0.6,0.8,1000,732,1143,0,
45,0.1,0.6,0.8,8919,1214,1585,0,
45,0.1,0.6,0.8,16838,397,497,0,
45,0.1,0.6,0.8,24757,1287,1690,0,
45,0.1,0.6,0.8,32676,520,926,0,
45,0.1,0.6,0.8,40595,881,1588,0,
45,0.1,0.6,0.8,48514,1462,2073,0,
45,0.1,0.6,0.8,56433,964,1134,0,
45,0.1,0.6,0.8,64352,691,1441,0,
45,0.1,0.6,0.8,72271,845,1497,0,
45,0.1,0.6,0.8,184919,1881,2393,0,
45,0.1,0.6,0.8,88109,552,1093,0,
45,0.1,0.6,0.8,96028,727,912,0,
45,0.1,0.6,0.8,103947,551,904,0,
45,0.1,0.6,0.8,111866,1160,1778,0,
45,0.1,0.6,0.8,119785,1726,3255,0,
45,0.1,0.6,0.8,127704,705,1037,0,
45,0.1,0.6,0.8,135623,1561,2579,0,
45,0.1,0.6,0.8,143542,958,1377,1,0.43737
