size,dep_density,budget_tightness,deadline_pressure,instance_seed,opt_risk,current_risk_risk,current_risk_feasible,current_risk_gap
45,0.4,0.8,0.8,127704,3105,3974,0,
45,0.4,0.8,0.8,135623,4392,4423,0,
45,0.4,0.95,0.1,1000,4598,7360,1,0.600696
45,0.4,0.95,0.1,427835,2886,4319,1,0.496535
45,0.4,0.95,0.1,121567,1795,2867,1,0.597214
45,0.4,0.95,0.1,234215,6200,7496,1,0.209032
45,0.4,0.95,0.1,137405,3914,5120,1,0.308125
45,0.4,0.95,0.1,250053,2362,3132,1,0.325995
45,0.4,0.95,0.1,48514,4727,5767,1,0.220013
45,0.4,0.95,0.1,161162,4684,5667,1,0.209863
45,0.4,0.95,0.1,273810,3668,6272,1,0.709924
45,0.4,0.95,0.1,72271,4280,5428,1,0.268224
45,0.4,0.95,0.1,80190,3745,6064,1,0.619226
45,0.4,0.95,0.1,88109,1665,2475,1,0.486486
45,0.4,0.95,0.1,103947,3993,5282,1,0.322815
45,0.4,0.95,0.1,111866,2159,3519,1,0.629921
45,0.4,0.95,0.1,433972,2053,3639,1,0.772528
45,0.4,0.95,0.1,127704,2526,4121,1,0.631433
45,0.4,0.95,0.1,135623,4867,7108,1,0.460448
45,0.4,0.95,0.4,1000,4613,7360,0,
45,0.4,0.95,0.4,427835,2895,4319,0,
45,0.4,0.95,0.4,121567,1795,2867,1,0.597214
45,0.4,0.95,0.4,234215,6200,7496,0,
45,0.4,0.95,0.4,250053,2370,3132,0,
45,0.4,0.95,0.4,48514,4727,5767,1,0.220013
45,0.4,0.95,0.4,161162,4781,5667,0,
45,0.4,0.95,0.4,273810,3668,6272,0,
45,0.4,0.95,0.4,177000,3415,4161,0,
45,0.4,0.95,0.4,80190,3752,6064,1,0.616205
45,0.4,0.95,0.4,88109,1665,2475,1,0.486486
45,0.4,0.95,0.4,313405,3874,7815,0,
45,0.4,0.95,0.4,111866,2159,3519,1,0.629921
45,0.4,0.95,0.4,433972,2053,3639,0,
45,0.4,0.95,0.4,127704,2526,4121,0,
