study,size,T,dep_density,budget_tightness,deadline_pressure,t_crqc,risk_form,residual_factor,cluster_frac,delayed_frac,index,instance_seed,n_resamples_infeasible,realized_tightness,n_deps,n_mandated,n_clusters,opt_status,opt_risk,opt_cost,opt_bound,opt_mipgap,opt_walltime,opt_nvars,highest_risk_risk,highest_risk_cost,highest_risk_feasible,highest_risk_ddlviol,highest_risk_gap,risk_per_cost_risk,risk_per_cost_cost,risk_per_cost_feasible,risk_per_cost_ddlviol,risk_per_cost_gap,edf_risk,edf_cost,edf_feasible,edf_ddlviol,edf_gap,spt_risk,spt_cost,spt_feasible,spt_ddlviol,spt_gap,random_risk,random_cost,random_feasible,random_ddlviol,random_gap
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,19,151461,0,0.3964,17,11,2,OPTIMAL,785,222,785.0,0.0,0.253,868,1011,222,1,0,0.287898,957,222,1,0,0.219108,2065,222,1,0,1.630573,1508,222,1,0,0.921019,2058,222,1,0,1.621656
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,20,159380,0,0.3962,16,10,2,OPTIMAL,732,206,732.0,0.0,0.452,870,1113,206,1,0,0.520492,1046,206,1,0,0.428962,1562,206,1,0,1.13388,1624,206,1,0,1.218579,1699,206,1,0,1.321038
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,21,167299,0,0.3929,21,11,2,OPTIMAL,477,220,477.0,0.0,0.773,864,1024,220,1,0,1.146751,1175,220,1,0,1.463312,1566,220,1,0,2.283019,1456,220,1,0,2.052411,1970,220,1,0,3.129979
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,22,175218,0,0.4,21,11,2,OPTIMAL,387,200,387.0,0.0,0.243,850,718,200,1,0,0.855297,608,200,1,0,0.571059,1020,200,1,0,1.635659,995,200,1,0,1.571059,1195,200,1,0,2.087855
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,23,183137,0,0.388,7,10,2,OPTIMAL,961,194,961.0,0.0,0.152,875,1190,194,1,0,0.238293,1245,194,1,0,0.295525,1682,194,1,0,0.75026,1886,194,1,0,0.962539,1723,194,1,0,0.792924
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,24,191056,0,0.3865,22,12,2,OPTIMAL,447,201,447.0,0.0,0.39,860,716,201,1,0,0.60179,649,201,1,0,0.451902,1349,201,1,0,2.017897,1250,201,1,0,1.796421,1138,201,1,0,1.545861
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,25,198975,0,0.3896,22,11,2,OPTIMAL,489,187,489.0,0.0,0.293,867,912,187,1,0,0.865031,852,187,1,0,0.742331,1944,187,1,0,2.97546,1149,187,1,0,1.349693,1893,187,1,0,2.871166
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,26,206894,0,0.39,21,11,2,OPTIMAL,564,195,564.0,0.0,0.406,873,802,195,1,0,0.421986,845,195,1,0,0.498227,2038,195,1,0,2.613475,1538,195,1,0,1.72695,1658,195,1,0,1.939716
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,27,214813,0,0.4,20,11,2,OPTIMAL,462,184,462.0,0.0,0.446,868,846,184,1,0,0.831169,740,184,1,0,0.601732,1191,184,1,0,1.577922,1301,184,1,0,1.816017,1272,184,1,0,1.753247
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,28,222732,0,0.3963,18,11,2,OPTIMAL,654,214,654.0,0.0,0.141,874,1296,214,1,0,0.981651,1131,214,1,0,0.729358,1401,214,1,0,1.142202,1365,214,1,0,1.087156,1825,214,1,0,1.79052
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,29,230651,0,0.3893,11,10,2,OPTIMAL,527,218,527.0,0.0,0.33,880,1228,218,1,0,1.330171,777,218,1,0,0.474383,986,218,1,0,0.870968,902,218,1,0,0.711575,1234,218,1,0,1.341556
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,0,1000,0,0.3931,15,18,2,OPTIMAL,331,228,331.0,0.0,0.368,828,500,228,1,0,0.510574,510,228,1,0,0.540785,1302,228,1,0,2.933535,976,228,1,0,1.94864,1496,228,1,0,3.519637
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,1,8919,0,0.386,20,19,2,OPTIMAL,607,193,607.0,0.0,0.398,807,950,193,1,0,0.565074,947,193,1,0,0.560132,1158,193,1,0,0.907743,1242,193,1,0,1.046129,1100,193,1,0,0.812191
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,2,16838,0,0.3875,14,19,2,OPTIMAL,247,217,247.0,0.0,0.063,815,290,217,1,0,0.174089,295,217,1,0,0.194332,1499,217,1,0,5.068826,1214,217,1,0,3.91498,888,217,1,0,2.595142
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,3,24757,0,0.394,16,20,2,OPTIMAL,593,197,593.0,0.0,0.259,809,1044,197,1,0,0.76054,1045,197,1,0,0.762226,1401,197,1,0,1.362563,1349,197,1,0,1.274874,1505,197,1,0,1.537943
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,4,32676,0,0.3897,19,19,2,OPTIMAL,209,226,209.0,0.0,0.2,839,596,226,1,0,1.851675,547,226,1,0,1.617225,762,226,1,0,2.645933,1373,226,1,0,5.569378,1387,226,1,0,5.636364
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,5,40595,0,0.4,15,18,2,OPTIMAL,387,216,387.0,0.0,0.277,833,992,216,1,0,1.563307,682,216,1,0,0.762274,1044,216,1,0,1.697674,980,216,1,0,1.5323,1493,216,1,0,2.857881
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,6,48514,0,0.4,16,20,2,OPTIMAL,685,216,685.0,0.0,0.165,836,1315,216,1,0,0.919708,1203,216,1,0,0.756204,2007,216,1,0,1.929927,1833,216,1,0,1.675912,2167,216,1,0,2.163504
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,7,56433,0,0.4,14,20,2,OPTIMAL,542,192,542.0,0.0,0.205,829,824,192,1,0,0.520295,665,192,1,0,0.226937,1707,192,1,0,2.149446,1435,192,1,0,1.647601,1637,192,1,0,2.020295
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,8,64352,0,0.3964,17,18,2,OPTIMAL,376,222,376.0,0.0,0.433,824,841,222,1,0,1.236702,590,222,1,0,0.569149,1332,222,1,0,2.542553,1019,222,1,0,1.710106,1263,222,1,0,2.359043
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,9,72271,0,0.3907,15,19,2,OPTIMAL,513,211,513.0,0.0,0.155,821,895,211,1,0,0.744639,781,211,1,0,0.522417,1678,211,1,0,2.270955,1214,211,1,0,1.366472,1794,211,1,0,2.497076
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,10,80190,0,0.3919,19,19,2,OPTIMAL,757,243,757.0,0.0,0.644,825,1402,243,1,0,0.852048,1265,243,1,0,0.67107,1655,243,1,0,1.186262,1710,243,1,0,1.258917,1834,243,1,0,1.422721
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,11,88109,0,0.39,24,19,2,OPTIMAL,214,195,214.0,0.0,0.206,836,600,195,1,0,1.803738,386,195,1,0,0.803738,1048,195,1,0,3.897196,834,195,1,0,2.897196,892,195,1,0,3.168224
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,12,96028,0,0.396,19,19,2,OPTIMAL,420,198,420.0,0.0,0.275,828,565,198,1,0,0.345238,559,198,1,0,0.330952,1079,198,1,0,1.569048,815,198,1,0,0.940476,1058,198,1,0,1.519048
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,13,103947,0,0.4,13,19,2,OPTIMAL,283,208,283.0,0.0,0.173,845,557,208,1,0,0.968198,489,208,1,0,0.727915,869,208,1,0,2.070671,639,208,1,0,1.257951,1689,208,1,0,4.968198
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,14,111866,0,0.3942,26,19,2,OPTIMAL,589,205,589.0,0.0,0.323,817,964,205,1,0,0.636672,1021,205,1,0,0.733447,1298,205,1,0,1.203735,1606,205,1,0,1.726655,1753,205,1,0,1.976231
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,15,119785,0,0.388,22,18,2,OPTIMAL,951,194,951.0,0.0,0.747,836,1841,194,1,0,0.935857,1694,194,1,0,0.781283,2485,194,1,0,1.613039,2182,194,1,0,1.294427,2815,194,1,0,1.960042
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,16,127704,0,0.3948,15,20,2,OPTIMAL,385,229,385.0,0.0,0.244,808,872,229,1,0,1.264935,658,229,1,0,0.709091,1204,229,1,0,2.127273,1222,229,1,0,2.174026,1695,229,1,0,3.402597
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,17,135623,0,0.3942,26,20,2,OPTIMAL,907,205,907.0,0.0,0.087,803,1305,205,1,0,0.438809,1245,205,1,0,0.372657,1788,205,1,0,0.971334,1819,205,1,0,1.005513,1762,205,1,0,0.942668
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,18,143542,0,0.3942,26,19,2,OPTIMAL,543,205,543.0,0.0,0.121,800,794,205,1,0,0.462247,668,205,1,0,0.230203,1215,205,1,0,1.237569,1214,205,1,0,1.235727,1304,205,1,0,1.401473
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,19,151461,0,0.3964,17,19,2,OPTIMAL,785,222,785.0,0.0,0.356,835,1011,222,1,0,0.287898,957,222,1,0,0.219108,2298,222,1,0,1.927389,1508,222,1,0,0.921019,2058,222,1,0,1.621656
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,20,159380,0,0.3962,16,19,2,OPTIMAL,732,206,732.0,0.0,0.635,826,1113,206,1,0,0.520492,1046,206,1,0,0.428962,1485,206,1,0,1.028689,1624,206,1,0,1.218579,1699,206,1,0,1.321038
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,21,167299,0,0.3929,21,18,2,OPTIMAL,477,220,477.0,0.0,0.776,827,1024,220,1,0,1.146751,1175,220,1,0,1.463312,1729,220,1,0,2.624738,1456,220,1,0,2.052411,1970,220,1,0,3.129979
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,22,175218,0,0.4,21,19,2,OPTIMAL,387,200,387.0,0.0,0.248,791,718,200,1,0,0.855297,608,200,1,0,0.571059,983,200,1,0,1.540052,995,200,1,0,1.571059,1195,200,1,0,2.087855
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,23,183137,0,0.388,7,19,2,OPTIMAL,961,194,961.0,0.0,0.227,828,1190,194,1,0,0.238293,1245,194,1,0,0.295525,1699,194,1,0,0.76795,1886,194,1,0,0.962539,1723,194,1,0,0.792924
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,24,191056,0,0.3865,22,18,2,OPTIMAL,447,201,447.0,0.0,0.282,825,716,201,1,0,0.60179,649,201,1,0,0.451902,871,201,1,0,0.948546,1250,201,1,0,1.796421,1138,201,1,0,1.545861
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,25,198975,0,0.3896,22,19,2,OPTIMAL,489,187,489.0,0.0,0.258,816,912,187,1,0,0.865031,852,187,1,0,0.742331,1611,187,1,0,2.294479,1149,187,1,0,1.349693,1893,187,1,0,2.871166
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,26,206894,0,0.39,21,19,2,OPTIMAL,564,195,564.0,0.0,0.318,845,802,195,1,0,0.421986,845,195,1,0,0.498227,2152,195,1,0,2.815603,1538,195,1,0,1.72695,1658,195,1,0,1.939716
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,27,214813,0,0.4,20,19,2,OPTIMAL,462,184,462.0,0.0,0.24,821,846,184,1,0,0.831169,740,184,1,0,0.601732,1429,184,1,0,2.093074,1301,184,1,0,1.816017,1272,184,1,0,1.753247
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,28,222732,0,0.3963,18,19,2,OPTIMAL,654,214,654.0,0.0,0.134,836,1296,214,1,0,0.981651,1131,214,1,0,0.729358,1580,214,1,0,1.415902,1365,214,1,0,1.087156,1825,214,1,0,1.79052
main,45,20,0.1,0.4,0.4,13,step,0.1,0.1,0.15,29,230651,0,0.3893,11,18,2,OPTIMAL,527,218,527.0,0.0,0.461,825,1228,218,1,0,1.330171,777,218,1,0,0.474383,1075,218,1,0,1.039848,902,218,1,0,0.711575,1234,218,1,0,1.341556
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,0,1000,0,0.3931,15,32,2,OPTIMAL,331,228,331.0,0.0,0.242,676,500,228,1,0,0.510574,510,228,1,0,0.540785,1194,228,1,0,2.607251,976,228,1,0,1.94864,1496,228,1,0,3.519637
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,1,8919,0,0.386,20,31,2,OPTIMAL,607,193,607.0,0.0,0.751,688,950,193,1,0,0.565074,947,193,1,0,0.560132,1346,193,1,0,1.217463,1242,193,1,0,1.046129,1100,193,1,0,0.812191
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,2,16838,0,0.3875,14,31,2,OPTIMAL,247,217,247.0,0.0,0.053,677,290,217,1,0,0.174089,295,217,1,0,0.194332,1752,217,1,0,6.093117,1214,217,1,0,3.91498,888,217,1,0,2.595142
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,3,24757,0,0.394,16,31,2,OPTIMAL,593,197,593.0,0.0,0.287,696,1044,197,1,0,0.76054,1045,197,1,0,0.762226,1226,197,1,0,1.067454,1349,197,1,0,1.274874,1505,197,1,0,1.537943
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,4,32676,0,0.3897,19,31,2,OPTIMAL,209,226,209.0,0.0,0.258,665,596,226,1,0,1.851675,547,226,1,0,1.617225,1084,226,1,0,4.186603,1373,226,1,0,5.569378,1387,226,1,0,5.636364
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,5,40595,0,0.4,15,31,2,OPTIMAL,387,216,387.0,0.0,0.183,655,992,216,1,0,1.563307,682,216,1,0,0.762274,1402,216,1,0,2.622739,980,216,0,1,,1493,216,1,0,2.857881
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,6,48514,0,0.4,16,31,2,OPTIMAL,685,216,685.0,0.0,0.243,627,1315,216,1,0,0.919708,1203,216,1,0,0.756204,1728,216,1,0,1.522628,1833,216,1,0,1.675912,2167,216,1,0,2.163504
